Имя сервера;Размещение;Тип;Роль;ОС;IP-адрес;Core;RAM;Дисковая память
1;Внутренняя СПД;IaaS;Сервер совместной работы;Linux;10.43.234.10;40;56;2048
2;Внутренняя СПД;IaaS;Сервер совместной работы (резервный) ;Linux;10.43.234.11;24;56;2048
3;Внутренняя СПД;IaaS;Сервер документов;Linux;10.43.234.12;24;56;2048
4;Внутренняя СПД;IaaS;Сервер документов;Linux;10.43.234.13;24;56;2048
5;Внутренняя СПД;IaaS;Сервер документов (резервный) ;Linux;10.43.234.14;8;56;2048
6;Внутренняя СПД;IaaS;Сервер хранения;Linux;10.43.234.15;8;16;50000
7;Внутренняя СПД;IaaS;Сервер хранения (резервный) ;Linux;10.43.234.16;8;16;50000
